id,category,description,carbohydrate,kilocalories,protein,fat,carb_percentage,protein_percentage,fat_percentage,original_category,generic_category,nutritional_score
11110,CABBAGE,"CABBAGE,CKD,BLD,DRND,WO/SALT",5.5,23,1.3,0.1,78.29181494661923,18.505338078291818,3.202846975088968,CABBAGE,vegetables,7.000000000000007
11112,CABBAGE,"CABBAGE,RED,RAW",7.4,31,1.4,0.2,80.0,15.135135135135132,4.864864864864865,CABBAGE,vegetables,9.20000000000001
11113,CABBAGE,"CABBAGE,RED,CKD,BLD,DRND,WO/SALT",6.9,29,1.5,0.1,80.0,17.391304347826086,2.608695652173913,CABBAGE,vegetables,8.600000000000016
11114,CABBAGE,"CABBAGE,SAVOY,RAW",6.1,27,2.0,0.1,73.27327327327328,24.024024024024023,2.702702702702702,CABBAGE,vegetables,8.300000000000011
11115,CABBAGE,"CABBAGE,SAVOY,CKD,BLD,DRND,WO/SALT",5.4,24,1.8,0.1,72.72727272727273,24.24242424242424,3.0303030303030303,CABBAGE,vegetables,7.400000000000013
11116,CABBAGE,"CABBAGE,CHINESE (PAK-CHOI),RAW",2.2,13,1.5,0.2,53.01204819277109,36.14457831325301,10.843373493975902,CABBAGE,vegetables,4.100000000000023
11117,CABBAGE,"CABBAGE,CHINESE (PAK-CHOI),CKD,BLD,DRND,WO/SALT",1.8,12,1.6,0.2,46.75324675324675,41.55844155844156,11.688311688311687,CABBAGE,vegetables,3.8000000000000114
11119,CABBAGE,"CABBAGE,CHINESE (PE-TSAI),RAW",3.2,16,1.2,0.2,65.97938144329896,24.742268041237107,9.278350515463917,CABBAGE,vegetables,4.800000000000011
11120,CABBAGE,"CABBAGE,CHINESE (PE-TSAI),CKD,BLD,DRND,WO/SALT",2.4,14,1.5,0.2,55.172413793103445,34.48275862068966,10.3448275862069,CABBAGE,vegetables,4.300000000000011
11122,CARDOON,"CARDOON,RAW",4.1,17,0.7,0.1,81.59203980099502,13.930348258706468,4.477611940298508,CARDOON,other,5.000000000000014
11123,CARDOON,"CARDOON,CKD,BLD,DRND,WO/SALT",5.3,22,0.8,0.1,83.79446640316206,12.64822134387352,3.557312252964427,CARDOON,other,6.300000000000011
11124,CARROTS,"CARROTS,RAW",9.6,41,0.9,0.2,87.67123287671234,8.219178082191782,4.109589041095891,CARROTS,vegetables,10.900000000000013
11125,CARROTS,"CARROTS,CKD,BLD,DRND,WO/SALT",8.2,35,0.8,0.2,86.77248677248677,8.465608465608467,4.761904761904763,CARROTS,vegetables,9.400000000000013
11126,CARROTS,"CARROTS,CND,REG PK,SOL&LIQUIDS",5.4,23,0.6,0.1,86.74698795180724,9.63855421686747,3.6144578313253017,CARROTS,vegetables,6.20000000000001
11128,CARROTS,"CARROTS,CND,REG PK,DRND SOL",5.5,25,0.6,0.2,83.96946564885496,9.16030534351145,6.870229007633588,CARROTS,vegetables,6.500000000000007
11130,CARROTS,"CARROTS,FROZEN,UNPREPARED",7.9,36,0.8,0.5,80.40712468193384,8.142493638676845,11.450381679389311,CARROTS,vegetables,9.70000000000001
11131,CARROTS,"CARROTS,FRZ,CKD,BLD,DRND,WO/SALT",7.7,37,0.6,0.7,77.9746835443038,6.075949367088607,15.949367088607596,CARROTS,vegetables,9.70000000000001
11134,CASSAVA,"CASSAVA,RAW",38.1,160,1.4,0.3,94.83509645301804,3.484754200373367,1.6801493466085875,CASSAVA,other,40.10000000000001
11135,CAULIFLOWER,"CAULIFLOWER,RAW",5.3,25,2.0,0.1,70.43189368770764,26.578073089701,2.990033222591362,CAULIFLOWER,vegetables,7.500000000000007
11136,CAULIFLOWER,"CAULIFLOWER,CKD,BLD,DRND,WO/SALT",4.1,23,1.8,0.5,58.362989323843415,25.622775800711743,16.014234875444842,CAULIFLOWER,vegetables,6.900000000000013
11137,CAULIFLOWER,"CAULIFLOWER,FRZ,UNPREP",4.7,24,2.0,0.3,63.72881355932204,27.11864406779661,9.152542372881356,CAULIFLOWER,vegetables,7.3000000000000185
11138,CAULIFLOWER,"CAULIFLOWER,FRZ,CKD,BLD,DRND,WO/SALT",3.8,19,1.6,0.2,64.95726495726495,27.35042735042735,7.692307692307692,CAULIFLOWER,vegetables,5.800000000000004
11141,CELERIAC,"CELERIAC,RAW",9.2,42,1.5,0.3,80.87912087912088,13.186813186813188,5.934065934065933,CELERIAC,vegetables,11.300000000000011
11142,CELERIAC,"CELERIAC,CKD,BLD,DRND,WO/SALT",5.9,27,1.0,0.2,80.27210884353741,13.605442176870747,6.122448979591836,CELERIAC,vegetables,7.300000000000004
11143,CELERY,"CELERY,RAW",3.0,16,0.7,0.2,72.28915662650601,16.867469879518072,10.843373493975902,CELERY,vegetables,4.100000000000016
11144,CELERY,"CELERY,CKD,BLD,DRND,WO/SALT",4.0,18,0.8,0.2,76.19047619047619,15.23809523809524,8.571428571428571,CELERY,vegetables,5.200000000000017
11145,CELTUCE,"CELTUCE,RAW",3.6,18,0.8,0.3,70.93596059113301,15.763546798029555,13.300492610837436,CELTUCE,other,5.000000000000021
11147,CHARD,"CHARD,SWISS,RAW",3.7,19,1.8,0.2,62.18487394957983,30.252100840336134,7.563025210084033,CHARD,other,5.900000000000013
11148,CHARD,"CHARD,SWISS,CKD,BLD,DRND,WO/SALT",4.1,20,1.9,0.1,65.86345381526104,30.522088353413658,3.6144578313253017,CHARD,other,6.20000000000001
11149,CHAYOTE,"CHAYOTE,FRUIT,RAW",4.5,19,0.8,0.1,81.44796380090499,14.479638009049776,4.0723981900452495,CHAYOTE,vegetables,5.500000000000014
11150,CHAYOTE,"CHAYOTE,FRUIT,CKD,BLD,DRND,WO/SALT",5.1,24,0.6,0.5,74.72527472527473,8.791208791208792,16.483516483516485,CHAYOTE,vegetables,6.70000000000001
11151,CHICORY,"CHICORY,WITLOOF,RAW",4.0,17,0.9,0.1,78.04878048780488,17.5609756097561,4.390243902439025,CHICORY,other,5.1000000000000085
11152,CHICORY GREENS,"CHICORY GREENS,RAW",4.7,23,1.7,0.3,66.43109540636043,24.02826855123675,9.540636042402824,CHICORY GREENS,other,7.000000000000014
11154,CHICORY ROOTS,"CHICORY ROOTS,RAW",17.5,73,1.4,0.2,90.43927648578811,7.23514211886305,2.3255813953488373,CHICORY ROOTS,other,19.300000000000008
11156,CHIVES,"CHIVES,RAW",4.3,30,3.3,0.7,46.86648501362398,35.96730245231608,17.166212534059948,CHIVES,other,9.000000000000007
11157,CHRYSANTHEMUM,"CHRYSANTHEMUM,GARLAND,RAW",3.0,24,3.4,0.6,38.70967741935484,43.87096774193549,17.419354838709676,CHRYSANTHEMUM,other,7.6000000000000085
11158,CHRYSANTHEMUM,"CHRYSANTHEMUM,GARLAND,CKD,BLD,DRND,WO/SALT",4.3,20,1.6,0.1,70.20408163265306,26.12244897959184,3.673469387755103,CHRYSANTHEMUM,other,6.1000000000000085
11159,COLESLAW,"COLESLAW,HOME-PREPARED",12.4,78,1.3,2.6,63.42710997442455,6.649616368286446,29.923273657289005,COLESLAW,other,18.90000000000001
11161,COLLARDS,"COLLARDS,RAW",5.7,30,2.5,0.4,62.63736263736264,27.472527472527474,9.89010989010989,COLLARDS,vegetables,9.000000000000007
11162,COLLARDS,"COLLARDS,CKD,BLD,DRND,WO/SALT",4.9,26,2.1,0.4,62.0253164556962,26.58227848101265,11.39240506329114,COLLARDS,vegetables,7.800000000000011
11163,COLLARDS,"COLLARDS,FRZ,CHOPD,UNPREP",6.5,33,2.7,0.4,64.35643564356435,26.73267326732673,8.910891089108912,COLLARDS,vegetables,10.000000000000014
11164,COLLARDS,"COLLARDS,FRZ,CHOPD,CKD,BLD,DRND,WO/SALT",7.1,36,3.0,0.4,64.54545454545453,27.27272727272727,8.181818181818182,COLLARDS,vegetables,10.900000000000013
11165,CORIANDER (CILANTRO) LEAVES,"CORIANDER (CILANTRO) LEAVES,RAW",3.7,23,2.1,0.5,53.42960288808664,30.324909747292416,16.245487364620935,CORIANDER (CILANTRO) LEAVES,other,6.800000000000004
11167,CORN,"CORN,SWEET,YELLOW,RAW",19.0,86,3.2,1.2,76.30522088353415,12.851405622489962,10.843373493975903,CORN,vegetables,24.600000000000012
11168,CORN,"CORN,SWT,YEL,CKD,BLD,DRND,WO/SALT",25.1,108,3.3,1.3,80.12769353551477,10.534716679968074,9.337589784517158,CORN,vegetables,31.00000000000001
11170,CORN,"CORN,SWT,YEL,CND,BRINE PK,REG PK,SOL&LIQUIDS",15.4,64,1.9,0.5,83.5820895522388,10.312075983717774,6.10583446404342,CORN,vegetables,18.30000000000001
11172,CORN,"CORN,SWT,YEL,CND,WHL KERNEL,DRND SOL",18.8,81,2.6,0.9,80.25613660618997,11.099252934898612,8.64461045891142,CORN,vegetables,23.20000000000001
11174,CORN,"CORN,SWT,YEL,CND,CRM STYLE,REG PK",18.1,72,1.7,0.4,87.43961352657006,8.212560386473431,4.347826086956522,CORN,vegetables,20.600000000000012
11176,CORN,"CORN,SWT,YEL,CND,VACUUM PK,REG PK",19.4,79,2.4,0.5,84.6237731733915,10.468920392584517,4.907306434023992,CORN,vegetables,22.800000000000008
11178,CORN,"CORN,SWT,YEL,FRZ,KRNLS CUT OFF COB,UNPREP",20.7,88,3.0,0.8,81.17647058823529,11.76470588235294,7.0588235294117645,CORN,vegetables,25.300000000000008
11179,CORN,"CORN,SWT,YEL,FRZ,KRNLS CUT OFF COB,BLD,DRND,WO/SALT",19.3,81,2.5,0.7,82.56684491978609,10.6951871657754,6.737967914438503,CORN,vegetables,23.200000000000006
11180,CORN,"CORN,SWT,YEL,FRZ,KRNLS ON COB,UNPREP",23.5,98,3.3,0.8,82.16783216783216,11.538461538461538,6.293706293706293,CORN,vegetables,28.40000000000001
11181,CORN,"CORN,SWT,YEL,FRZ,KRNLS ON COB,CKD,BLD,DRND,WO/SALT",22.3,93,3.1,0.7,82.66913809082483,11.492122335495829,5.838739573679332,CORN,vegetables,26.800000000000008
11182,CORN,"CORN,YEL,WHL KERNEL,FRZ,MICROWAVED",25.9,131,3.6,1.4,79.32618683001532,11.0260336906585,9.647779479326186,CORN,vegetables,32.3
