id,category,description,carbohydrate,kilocalories,protein,fat,fiber,sugar,carb_percentage,protein_percentage,fat_percentage,generic_category,nutritional_score
7025,FRANKFURTER,"FRANKFURTER,TURKEY",3.8,223,12.2,17.3,0.0,1.210000038,6.918525261720528,22.212107419208007,70.86936731907146,meats,61.771864526801814
42179,FRANKFURTER,"FRANKFURTER,BF,LO FAT",1.6,233,12.0,19.5,0.0,0.0,2.7838190517616357,20.878642888212266,76.3375380600261,meats,60.81859503531318
7939,FRANKFURTER,"FRANKFURTER,PORK",0.3,269,12.8,23.7,0.100000001,0.0,0.4516371847948814,19.269853217914942,80.27850959729017,meats,57.33003428729518
43507,FRANKFURTER,"FRANKFURTER,LO NA",1.8,315,12.0,28.5,0.0,0.0,2.309913378248316,15.39942252165544,82.29066410009625,meats,51.97549918404092
18268,FRENCH TOAST,"FRENCH TOAST,FRZ,RTH",32.1,213,7.4,6.1,1.100000024,0.0,60.31000469704087,13.903240958196337,25.7867543447628,bakedGoods,64.17734888797875
18269,FRENCH TOAST,"FRENCH TOAST,PREP FROM RECIPE,MADE W/LOFAT (2%) MILK",25.0,229,7.7,10.8,0.0,0.0,43.859649122807014,13.508771929824562,42.63157894736842,bakedGoods,61.16745111017989
19247,FROSTINGS,"FROSTINGS,WHITE,FLUFFY,DRY MIX,PREP W/H2O",62.6,244,1.5,0.0,0.0,0.0,97.65990639625586,2.3400936037441498,0.0,sweets,59.56109057939833
19241,FROSTINGS,"FROSTINGS,CHOC,CREAMY,DRY MIX,PREP W/ BUTTER",70.8,404,1.1,12.9,1.799999952,0.0,70.15110230369086,1.0899182561307903,28.75897944017835,sweets,44.41424655345081
19227,FROSTINGS,"FROSTINGS,COCONUT-NUT,RTE",52.7,433,1.5,24.0,2.5,40.0,48.70609981515712,1.3863216266173752,49.90757855822551,sweets,23.783060575627054
19226,FROSTINGS,"FROSTINGS,CHOC,CREAMY,RTE",63.2,397,1.1,17.6,0.899999976,57.70000076,60.82771896053898,1.0587102983638117,38.113570741097206,sweets,19.84828824454133
19230,FROSTINGS,"FROSTINGS,VANILLA,CREAMY,RTE",67.9,418,0.0,16.2,0.0,63.09999847,65.06947771921419,0.0,34.930522280785816,sweets,15.17524037222976
19228,FROSTINGS,"FROSTINGS,CRM CHEESE-FLAVOR,RTE",67.3,415,0.1,17.3,0.0,63.54000092,63.2964965906419,0.0940512579355749,36.60945215142253,sweets,15.021093670896356
