category,description,carbohydrate,protein,fat,kilocalories,feedback,generic_category,carb_percentage,fat_percentage,protein_percentage,nutritional_score,original_category
DANISH PASTRY,"DANISH PASTRY,CINN,ENR",44.6,7.0,22.4,403,approvato,sweets,43.72549019607843,49.41176470588235,6.862745098039216,36.70696089859258,DANISH PASTRY
GARLIC,"GARLIC,RAW",33.1,6.4,0.5,149,approvato,vegetables,81.47692307692309,2.769230769230769,15.753846153846156,70.48920988623888,GARLIC
CHERRIES,"CHERRIES,SOUR,RED,CND,H2O PK,SOL&LIQUIDS (INCL USDA CMDTY)",8.9,0.8,0.1,36,approvato,fruits,89.67254408060454,2.267002518891688,8.060453400503778,73.70193106357355,CHERRIES
CHERRIES,"CHERRIES,SOUR,RED,CND,LT SYRUP PK,SOL&LIQUIDS",19.3,0.7,0.1,75,approvato,fruits,95.4264524103832,1.112484548825711,3.4610630407911,73.37741373830295,CHERRIES
CHERRIES,"CHERRIES,SOUR,RED,FRZ,UNSWTND",11.0,0.9,0.4,46,approvato,fruits,85.9375,7.03125,7.03125,72.61479795478266,CHERRIES
QUAIL,"QUAIL,BREAST,MEAT ONLY,RAW",0.0,22.6,3.0,123,approvato,poultry,0.0,22.998296422487225,77.00170357751279,78.91854626851357,QUAIL
QUAIL,"QUAIL,MEAT ONLY,RAW",0.0,21.8,4.5,134,approvato,poultry,0.0,31.714956930305405,68.2850430696946,77.27162107786378,QUAIL
QUAIL,"QUAIL,MEAT AND SKIN,RAW",0.0,19.6,12.1,192,approvato,poultry,0.0,58.14201815269621,41.85798184730379,69.64546502263816,QUAIL
PITANGA,"PITANGA,(SURINAM-CHERRY),RAW",7.5,0.8,0.4,33,approvato,fruits,81.52173913043478,9.782608695652172,8.695652173913043,76.24127871721096,PITANGA
CROISSANTS,"CROISSANTS,APPLE",37.1,7.4,8.7,254,approvato,bakedGoods,57.90089738587593,30.550136558720247,11.548966055403824,61.12688645031167,CROISSANTS
CROISSANTS,"CROISSANTS,BUTTER",45.8,8.2,21.0,406,approvato,bakedGoods,45.23456790123456,46.66666666666666,8.098765432098764,41.68830128650298,CROISSANTS
CROISSANTS,"CROISSANTS,CHEESE",47.0,9.2,20.9,414,approvato,bakedGoods,45.531605715669656,45.55582465488012,8.91256962945023,41.51387318822263,CROISSANTS
DOUGHNUTS,"DOUGHNUTS,YEAST-LEAVENED,GLAZED,UNENR (INCL HONEY BUNS)",44.3,6.4,22.8,403,approvato,sweets,43.431372549019606,50.294117647058826,6.2745098039215685,44.27632677220616,DOUGHNUTS
DOUGHNUTS,"DOUGHNUTS,CAKE-TYPE,PLN,SUGARED OR GLAZED",50.8,5.2,22.9,426,approvato,sweets,47.24482678446872,47.919088584050215,4.836084631481051,41.99659285645846,DOUGHNUTS
DOUGHNUTS,"DOUGHNUTS,YEAST-LEAVENED,W/JELLY FILLING",39.0,5.9,18.7,340,approvato,sweets,44.84047139982754,48.3759701063524,6.783558493820065,41.38812278871261,DOUGHNUTS
JELLIES,"JELLIES,RED SUGAR,HOME PRESERVED",46.1,0.3,0.0,179,approvato,sweets,99.35344827586208,0.0,0.646551724137931,46.39380230225351,JELLIES
COCONUT MEAT,"COCONUT MEAT,RAW",15.2,3.3,33.5,354,approvato,nutsAndSeeds,16.191744340878827,80.29294274300932,3.5153129161118506,46.6736981315571,COCONUT MEAT
COCONUT MEAT,"COCONUT MEAT,DRIED (DESICCATED),SWTND,FLAKED,CND",40.9,3.4,31.7,443,approvato,nutsAndSeeds,35.372972972972974,61.686486486486494,2.9405405405405407,39.54648740041789,COCONUT MEAT
COCONUT MEAT,"COCONUT MEAT,DRIED (DESICCATED),SWTND,FLAKED,PACKAGED",51.9,3.1,28.0,456,approvato,nutsAndSeeds,43.983050847457626,53.38983050847458,2.6271186440677967,27.843582781153856,COCONUT MEAT
LENTILS,"LENTILS,RAW",60.1,25.8,1.1,353,approvato,legumes,68.00565770862801,2.800565770862801,29.1937765205092,81.25101422270004,LENTILS
LENTILS,"LENTILS,MATURE SEEDS,CKD,BLD,W/SALT",19.5,9.0,0.4,114,approvato,legumes,66.32653061224491,3.0612244897959187,30.612244897959183,78.0585755604366,LENTILS
LENTILS,"LENTILS,MATURE SEEDS,CKD,BLD,WO/SALT",20.1,9.0,0.4,116,approvato,legumes,67.0,3.0000000000000004,30.0,77.8963169209637,LENTILS
GROUNDCHERRIES,"GROUNDCHERRIES,(CAPE-GOOSEBERRIES OR POHA),RAW",11.2,1.9,0.7,53,approvato,fruits,76.32027257240205,10.732538330494036,12.947189097103918,75.08112944497982,GROUNDCHERRIES
LIME JUICE,"LIME JUC,CND OR BTLD,UNSWTND",6.7,0.2,0.2,21,approvato,fruits,91.15646258503402,6.122448979591836,2.7210884353741496,76.6753205796669,LIME JUICE
LIME JUICE,"LIME JUICE,RAW",8.4,0.4,0.1,25,approvato,fruits,93.07479224376732,2.4930747922437675,4.43213296398892,76.34269034765387,LIME JUICE
