id,category,description,carbohydrate,kilocalories,protein,fat,carb_percentage,protein_percentage,fat_percentage,original_category,generic_category,nutritional_score
8087,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,MULTI-GRAIN CHEERIOS",83.3,379,6.9,3.5,84.9349987254652,7.035432067295437,8.029569207239359,CEREALS RTE,cereals,
8088,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,TEAM CHEERIOS",82.9,370,7.4,3.7,84.05576679340938,7.50316856780735,8.44106463878327,CEREALS RTE,cereals,
8089,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,WHEATIES",80.8,367,10.0,3.3,82.26011707813693,10.180707559175364,7.559175362687707,CEREALS RTE,cereals,
8100,CEREALS,"CEREALS,CRM OF RICE,DRY",82.4,370,6.3,0.5,91.7339270804342,7.013637628722516,1.2524352908433063,CEREALS,cereals,
8110,CEREALS,"CEREALS,CRM OF WHEAT,MIX'N EAT,APPL,BANANA&MAPLE FLAV,DRY",81.6,373,6.9,1.1,89.69497114591921,7.584501236603463,2.7205276174773294,CEREALS,cereals,
8138,CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,MARSHMLLW MATEYS",83.3,394,7.2,3.6,84.48275862068965,7.302231237322516,8.21501014198783,CEREALS RTE,cereals,
8139,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,CINN GRAHAMS",86.0,378,5.0,2.8,88.38643371017471,5.138746145940391,6.474820143884892,CEREALS RTE,cereals,
8140,CEREALS RTE,"CEREALS RTE,CHOC FLAV RINGS,PRESWEETENED,SINGLE BRAND",81.9,415,4.8,8.8,76.90140845070424,4.507042253521126,18.591549295774648,CEREALS RTE,cereals,
8148,CEREALS RTE,"CEREALS RTE,WHEAT,SHREDDED,PLN,SUGAR&SALT FREE,SPOON SIZE",83.0,340,10.3,1.1,86.66144609762465,10.754372226572698,2.584181675802663,CEREALS RTE,cereals,
8156,CEREALS RTE,"CEREALS RTE,RICE,PUFFED,FORT",89.8,402,6.3,0.5,92.36307534070455,6.479814862432503,1.157109796862947,CEREALS RTE,cereals,
8189,CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA WO/ RAISINS",81.5,387,8.0,5.2,80.53359683794467,7.905138339920949,11.561264822134389,CEREALS RTE,cereals,
8190,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP,APPL CINN",84.0,382,7.3,3.6,84.50704225352113,7.344064386317909,8.148893360160967,CEREALS RTE,cereals,
8191,CEREALS RTE,"CEREALS RTE,WHEAT,SHREDDED,PRESWEETENED,SINGLE BRAND",83.8,352,7.8,1.9,87.40547588005215,8.135593220338983,4.458930899608865,CEREALS RTE,cereals,
8204,CEREALS RTE,"CEREALS RTE,CHOCOLATE-FLAVORED FRSTD PUFFED CORN",87.2,405,3.3,3.5,88.64040660736975,3.354510800508259,8.005082592121983,CEREALS RTE,cereals,
8206,CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,COCO-ROOS",89.5,396,3.7,2.6,90.35840484603736,3.735487127713277,5.9061080262493695,CEREALS RTE,cereals,
8211,CEREALS RTE,"CEREALS RTE,QUAKER,HONEY GRAHAM OH!S",83.6,411,4.1,7.5,79.94262491035143,3.920631125986134,16.136743963662443,CEREALS RTE,cereals,
8217,CEREALS READY TO EAT,"CEREALS READY TO EAT,CHARACTER CEREALS (MOVIES,TV),BRAND A",85.9,389,6.1,2.3,88.3972215075894,6.27733470542835,5.325443786982249,CEREALS READY TO EAT,cereals,
8219,CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER TSTD OATMEAL CRL,HONEY NUT",81.2,384,9.0,4.1,81.66960020115665,9.052049283379432,9.278350515463918,CEREALS RTE,cereals,
8220,CEREALS RTE,"CEREALS RTE,QUAKER,LOFAT 100% NAT GRANOLA W/ RAISINS",81.1,390,7.9,5.5,80.0,7.79284833538841,12.20715166461159,CEREALS RTE,cereals,
8222,CEREALS READY TO EAT,"CEREALS READY TO EAT,CHARACTER CEREALS (MOVIES,TV),BRAND B",90.0,388,3.3,1.7,92.66409266409266,3.397683397683397,3.938223938223938,CEREALS READY TO EAT,cereals,
8239,CEREALS RTE,"CEREALS RTE,GEN MILLS,BERRY BURST CHEERIOS,ALL FLAVORS",80.0,367,10.0,4.0,80.8080808080808,10.1010101010101,9.090909090909092,CEREALS RTE,cereals,
8242,CEREALS RTE,"CEREALS RTE,JUST RIGHT W/ CRUNCHY NUGGETS",83.7,371,7.7,2.7,85.86817132598101,7.899461400359066,6.2323672736599125,CEREALS RTE,cereals,
8243,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,HONEY NUT CLUSTERS",83.6,382,7.3,4.5,82.75179411036872,7.225934174709231,10.02227171492205,CEREALS RTE,cereals,
8244,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,FIBER ONE",83.3,200,6.7,3.3,85.5016679497049,6.877084937131127,7.621247113163972,CEREALS RTE,cereals,
8245,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP,RAISIN",80.0,382,9.1,3.6,82.30452674897121,9.362139917695474,8.333333333333334,CEREALS RTE,cereals,
8246,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,TOTAL CORN FLAKES",85.5,373,6.0,1.6,89.90536277602524,6.309148264984228,3.785488958990536,CEREALS RTE,cereals,
8254,CEREALS RTE,"CEREALS RTE,APPL CINN SQUARES MINI-WHEATS",80.1,331,7.2,1.8,87.68472906403942,7.881773399014778,4.433497536945813,CEREALS RTE,cereals,
8259,CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S CRISPIX",87.0,377,6.2,1.3,90.50715214564369,6.449934980494149,3.042912873862159,CEREALS RTE,cereals,
